year,week,away_team,away_points,home_team,home_points
2015,8,Welcome to the Space Jameis,102.10,Ridin Dirty in the DMC,93.34
2015,8,Valar Almorris,146.12,TEFLON TOM,117.52
2015,9,Mark Instagram It,78.08,Hyde your Kids Hyde your Wife,85.56
2015,9,Don't Vontaze Me Breaux,102.58,Lynch Don't Kill My Vibe,55.82
2015,9,Saved by the Bell,100.08,Edward ForteHands,114.14
2015,9,Ridin Dirty in the DMC,105.04,Gronk if you have RB Blues,93.46
2015,9,TEFLON TOM,89.42,Welcome to the Space Jameis,150.46
2015,9,Yippee Kai A Justin Tucker,104.10,Valar Almorris,88.68
2015,10,Mark Instagram It,99.04,Don't Vontaze Me Breaux,103.96
2015,10,Lynch Don't Kill My Vibe,90.62,Saved by the Bell,68.98
2015,10,Edward ForteHands,77.54,Ridin Dirty in the DMC,85.22
2015,10,Gronk if you have RB Blues,90.06,TEFLON TOM,79.36
2015,10,Welcome to the Space Jameis,102.64,Yippee Kai A Justin Tucker,75.80
2015,10,Valar Almorris,127.72,Hyde your Kids Hyde your Wife,71.42
2015,11,Mark Instagram It,87.42,Saved by the Bell,91.10
2015,11,Ridin Dirty in the DMC,98.80,Lynch Don't Kill My Vibe,89.00
2015,11,TEFLON TOM,102.16,Edward ForteHands,89.12
2015,11,Yippee Kai A Justin Tucker,70.64,Gronk if you have RB Blues,68.74
2015,11,Hyde your Kids Hyde your Wife,90.42,Welcome to the Space Jameis,123.38
2015,11,Don't Vontaze Me Breaux,68.24,Valar Almorris,65.52
2015,12,Mark Instagram It,84.68,Lynch Don't Kill My Vibe,101.90
2015,12,TEFLON TOM,93.78,Ridin Dirty in the DMC,132.12
