profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2505453,2005,16,0,0,0,0,0,0,0,0,211,19,1,0
2505511,2005,12,0,0,0,0,0,2,-6,0,328,30,1,0
2505551,2005,13,0,0,0,0,0,6,10,0,688,63,2,1
2505562,2005,7,13,25,173,1,1,6,-5,0,0,0,0,0
2505587,2005,14,0,0,0,0,0,12,45,0,1402,102,7,1
2505600,2005,16,0,0,0,0,0,0,0,0,733,48,5,1
2505623,2005,2,20,39,259,1,2,0,0,0,0,0,0,0
2505629,2005,16,0,0,0,0,0,0,0,0,757,66,6,0
2505664,2005,15,0,0,0,0,0,0,0,0,488,37,4,0
2505673,2005,11,175,302,2123,15,5,31,67,2,0,0,0,3
2505674,2005,16,0,0,0,0,0,325,1247,5,178,0,219,1
2505790,2005,16,0,0,0,0,0,1,5,0,434,29,0,1
2505936,2005,15,0,0,0,0,0,254,1046,8,320,2,287,3
2505967,2005,14,0,0,0,0,0,35,123,0,13,0,57,0
2505976,2005,14,0,0,0,0,0,0,0,0,508,36,3,1
2505982,2005,16,33,64,495,4,0,9,76,0,0,0,0,1
2505996,2005,16,294,557,3762,24,17,29,80,1,0,0,0,2
2506004,2005,16,0,0,0,0,0,1,4,0,251,19,0,1
2506014,2005,16,0,0,0,0,0,57,335,3,0,0,165,0
2506097,2005,16,0,0,0,0,0,4,38,0,743,48,7,0
2506106,2005,16,0,0,0,0,0,8,41,0,1409,103,10,0
2506109,2005,12,168,268,2385,17,9,31,69,3,0,0,0,1
2506114,2005,15,0,0,0,0,0,1,9,0,343,22,3,0
2506121,2005,2,12,22,115,0,1,1,-1,0,0,0,0,0
2506122,2005,15,0,0,0,0,0,0,0,0,441,29,4,1
2506222,2005,14,0,0,0,0,0,0,0,0,7,1,0,0
2506313,2005,1,0,0,0,0,0,0,0,0,0,0,0,0
2506340,2005,9,84,165,875,1,11,30,103,0,0,0,0,3
2506341,2005,15,0,0,0,0,0,207,907,4,232,1,308,4
2506342,2005,10,0,0,0,0,0,0,0,0,512,32,3,0
2506343,2005,9,0,0,0,0,0,67,272,0,3,0,123,1
2506344,2005,14,0,0,0,0,0,290,1178,6,81,0,284,2
2506363,2005,3,9,16,65,0,1,2,7,0,0,0,0,2
2506366,2005,16,0,0,0,0,0,4,12,0,446,29,3,1
2506369,2005,16,0,0,0,0,0,0,0,0,459,39,6,0
2506400,2005,8,0,0,0,0,0,0,0,0,59,3,0,0
2506404,2005,14,0,0,0,0,0,127,608,3,131,0,250,2
2506444,2005,15,190,368,1869,9,13,24,44,0,0,0,0,5
2506447,2005,13,0,0,0,0,0,138,538,5,115,0,157,0
2506448,2005,16,0,0,0,0,0,38,99,7,0,0,62,1
2506467,2005,15,0,0,0,0,0,8,50,0,10,0,48,2
2506481,2005,2,7,17,63,0,0,0,0,0,0,0,0,1
2506531,2005,14,0,0,0,0,0,0,0,0,41,5,0,0
2506562,2005,2,13,24,183,2,1,6,12,0,0,0,0,0
2506581,2005,4,76,135,777,4,8,14,64,2,0,0,0,1
