profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost,position
2495471,2011,16,0,0,0,0,0,57,205,1,188,21,1,1,RB
2495471,2012,16,0,0,0,0,0,94,362,1,402,53,1,0,RB
2495471,2013,15,0,0,0,0,0,96,332,2,341,52,2,1,RB
2495471,2014,16,0,0,0,0,0,58,217,1,173,29,1,1,RB
2495471,2015,5,0,0,0,0,0,14,41,0,10,1,0,0,RB
2495471,2016,10,0,0,0,0,0,129,560,2,98,13,0,0,RB
2495471,2017,16,0,0,0,0,0,64,244,1,74,9,0,0,RB
2495471,2018,16,0,0,0,0,0,33,106,1,304,38,0,1,RB
2495472,2012,1,0,0,0,0,0,3,8,0,0,1,0,0,RB
2495472,2013,16,0,0,0,0,0,76,256,2,116,14,1,0,RB
2495472,2014,16,0,0,0,0,0,32,186,1,198,25,1,0,RB
2495472,2015,11,0,0,0,0,0,4,22,0,0,0,0,0,RB
2495472,2016,16,0,0,0,0,0,9,59,0,0,0,0,0,RB
2495472,2017,14,0,0,0,0,0,0,0,0,0,0,0,0,RB
2495473,2011,5,0,0,0,0,0,15,57,1,0,0,0,0,RB
2495473,2012,13,0,0,0,0,0,62,251,3,149,8,1,1,RB
2495473,2013,8,0,0,0,0,0,44,208,1,427,47,3,1,RB
2495473,2014,16,0,0,0,0,0,96,391,2,447,52,3,0,RB
2495473,2015,16,0,0,0,0,0,61,260,0,494,59,4,1,RB
2495473,2016,5,0,0,0,0,0,33,158,1,94,11,0,2,RB
2495473,2017,16,0,0,0,0,0,45,164,0,253,44,0,0,RB
